device_id,account_id,device_type,os,device_fingerprint,first_seen_date,last_seen_date,is_trusted_device,sim_change_detected,jailbroken_rooted,device_status,previous_device_id,evidence_status
DEV-DXO1VW,ACC-4ZXTX1L,MOBILE,Android 13,fp-2735a768ecd8,2026-01-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-27ROG5,ACC-52SOMK1,MOBILE,Android 14,fp-39a8b3ef61b2,2021-08-05,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-GAGI9K,ACC-52SOMK1,WEB,Windows 11 / Chrome,fp-4751b2ece315,2025-08-12,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-TJ44MA,ACC-52Y4R1F,MOBILE,iOS 16,fp-433d203eaac4,2024-05-21,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-YX2JG2,ACC-56Q8V88,MOBILE,Android 14,fp-9d8986bf8845,2025-10-03,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-AANHR7,ACC-5DFNIAJ,MOBILE,Android 12,fp-50ee2b8bc19a,2022-10-03,2026-04-12,FALSE,TRUE,FALSE,RETIRED,,AVAILABLE
DEV-FGL0C5,ACC-5DFNIAJ,MOBILE,Android 13,fp-e7140d940afb,2022-10-21,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-QDLB2C,ACC-5DFNIAJ,MOBILE,Android 13,fp-e6baa881f9c9,2026-04-12,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-AANHR7,AVAILABLE
DEV-1H04IP,ACC-5FAALFS,MOBILE,iOS 16,fp-9b1316ee35a2,2023-06-23,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-6P7NCZ,ACC-5FVDDWJ,MOBILE,Android 14,fp-81d286806b9b,2025-12-03,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-YPWB66,ACC-5I78U5T,MOBILE,Android 12,fp-74f8f486032e,2025-02-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-XHY8Q3,ACC-5JN7BS0,MOBILE,iOS 16,fp-836885006235,2025-11-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-6N31K1,ACC-5LSCATG,MOBILE,iOS 17,fp-1fd86f4615f0,2024-01-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-J9DYE2,ACC-5R5L6RZ,MOBILE,iOS 17,fp-cf85cfb5e2fe,2021-09-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-03LSYW,ACC-5R5L6RZ,WEB,Windows 11 / Chrome,fp-a0e9eff3f321,2025-08-22,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-NINN4D,ACC-5ZTKB9Z,MOBILE,iOS 17,fp-42d506da9079,2019-12-31,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-X90Q3L,ACC-66NW7Y6,MOBILE,iOS 16,fp-ed00b5a2e481,2021-09-19,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-ULVZ62,ACC-69BY4CY,MOBILE,Android 13,fp-1c6bf441b927,2022-04-24,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-Y8EK23,ACC-6BQKDJU,MOBILE,Android 14,fp-41177ace34b0,2025-08-10,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-0IYFOV,ACC-6EK26Y9,MOBILE,iOS 16,fp-0fc00b9abf70,2023-02-18,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-N66MNV,ACC-6EUC1G7,MOBILE,iOS 16,fp-a1b1738884ac,2023-02-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-Y2WN6G,ACC-6GN8W9U,MOBILE,Android 12,fp-3e6227cdda40,2025-07-17,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-A902AT,ACC-6HHR8X8,MOBILE,iOS 17,fp-374947e78d6a,2023-03-09,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-G0AT17,ACC-6I5A7D9,MOBILE,iOS 16,fp-a9ec00d655c0,2022-07-04,2026-02-26,FALSE,TRUE,FALSE,RETIRED,,UNKNOWN
DEV-3VTX4D,ACC-6I5A7D9,MOBILE,Android 14,fp-959b5370dde7,2022-07-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-0CZ8WB,ACC-6I5A7D9,MOBILE,Android 12,fp-a380fbd87f09,2026-02-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-G0AT17,AVAILABLE
DEV-ESX32G,ACC-6K088ZF,MOBILE,iOS 16,fp-b46a3fb846b1,2023-06-07,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5QTWFS,ACC-6O9YZPF,MOBILE,iOS 16,fp-e157fb419843,2025-01-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-4JJPOU,ACC-6OC7T3B,MOBILE,Android 12,fp-376b62b7bd5e,2025-10-17,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-P2RFQD,ACC-6SR17OT,MOBILE,Android 13,fp-262160ceea57,2019-08-31,2025-10-02,FALSE,TRUE,FALSE,RETIRED,,UNKNOWN
DEV-3A9JC1,ACC-6SR17OT,MOBILE,Android 14,fp-ca2addb72af5,2019-09-04,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-9AVU1V,ACC-6SR17OT,MOBILE,iOS 16,fp-60ac0b68fb2d,2025-10-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-P2RFQD,AVAILABLE
DEV-IB05VE,ACC-6Y3A5Z1,MOBILE,iOS 17,fp-a6cda51bcea2,2020-03-03,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-A9TX0Z,ACC-6YHRDU3,MOBILE,Android 12,fp-5173032d28bd,2019-07-31,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-BJYV1S,ACC-70SBOVV,MOBILE,Android 12,fp-d67a3eafa0ef,2026-01-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-VB1TCA,ACC-70X3FG6,MOBILE,iOS 17,fp-1977065fe9c7,2021-10-03,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-AT0N03,ACC-73J6IUU,MOBILE,Android 13,fp-8afc751def3b,2022-10-04,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-UM6OEW,ACC-73J6IUU,WEB,Windows 11 / Chrome,fp-1ffc635085c5,2025-11-30,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-1BQZEY,ACC-772URMS,MOBILE,Android 12,fp-25928fa07edd,2021-02-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-J0NB3R,ACC-79O2XZ3,MOBILE,iOS 16,fp-e9c90cc5696c,2024-07-17,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-2ASQTE,ACC-7F16XBX,MOBILE,iOS 17,fp-6c38a2627433,2023-12-07,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-ROT6UQ,ACC-7SFQM9R,MOBILE,Android 14,fp-0d0f86659522,2022-05-10,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-0KN8J6,ACC-7SFQM9R,WEB,Windows 10 / Edge,fp-eeff637a07bf,2025-08-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-RX4R1U,ACC-7YJPCHM,MOBILE,Android 14,fp-75115bd37767,2020-11-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-IY0L7Z,ACC-7YVR4NK,MOBILE,Android 14,fp-af69ed48e7dd,2020-10-29,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-DADZJ8,ACC-8192CA3,MOBILE,Android 12,fp-2d5ed26e8b58,2019-08-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-MYR3MN,ACC-8L3178T,MOBILE,Android 14,fp-70d003aa7278,2024-05-25,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-TZ73WV,ACC-8MFT3J4,MOBILE,iOS 17,fp-5539cd32d935,2021-02-16,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-W338L0,ACC-8R8KUSS,MOBILE,iOS 17,fp-11471e6f28f0,2023-05-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-8XWDHU,ACC-90ZASH1,MOBILE,iOS 16,fp-b190c9847841,2021-12-25,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-7VOSIY,ACC-9535HJH,MOBILE,iOS 16,fp-888e03df3dfa,2023-10-11,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5JY2FN,ACC-95IUZ6Y,MOBILE,iOS 17,fp-879ba11f1031,2022-12-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-OB13VA,ACC-9EC6G61,MOBILE,Android 14,fp-4e867c6dd771,2024-02-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-C27RQE,ACC-9ET83Z0,MOBILE,iOS 16,fp-1d7dc8ab89c4,2021-04-28,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-21NTQH,ACC-9F5G3UK,MOBILE,Android 14,fp-a7bde1f97666,2020-08-31,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-SAR2JR,ACC-9FM8D7M,MOBILE,Android 12,fp-49f054c7dcf7,2019-08-22,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-CY31KQ,ACC-9FN202S,MOBILE,iOS 17,fp-559988d868e0,2022-05-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5H1LO6,ACC-9JHCAZ8,MOBILE,iOS 16,fp-4c3ebba1952f,2023-09-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5B9BDI,ACC-9K6DZQ5,MOBILE,Android 12,fp-fd3dc5664d3e,2025-03-08,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-I7KWI1,ACC-9LQY3T3,MOBILE,iOS 16,fp-ecabceb181db,2024-06-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-4W7D8D,ACC-9PH3I37,MOBILE,Android 14,fp-1982191872bc,2025-07-18,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-NK6NN8,ACC-9RGDKUY,MOBILE,Android 12,fp-a6eb1fa7db9b,2024-05-28,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-8GJRQD,ACC-9WHSBP1,MOBILE,iOS 17,fp-950b844b4ac4,2020-10-18,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-UHB7XG,ACC-9WHSBP1,TABLET,iPadOS 17,fp-86699b25db69,2025-08-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-46GSV5,ACC-9XA4KWG,MOBILE,iOS 16,fp-58a1d273ab10,2024-09-20,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-BGSU0R,ACC-9XM091Z,MOBILE,Android 14,fp-35a39e5bf187,2024-02-11,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-S15REP,ACC-A170XC7,MOBILE,Android 12,fp-cf261f2c7732,2023-07-10,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-YQ48O4,ACC-A78MX1E,MOBILE,Android 13,fp-63fa9705e929,2025-08-10,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-6JF6BQ,ACC-A7NMSK8,MOBILE,Android 13,fp-8f59b285622b,2024-02-08,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-NJ0E9J,ACC-ACB7G6Z,MOBILE,Android 12,fp-567b40936650,2024-09-28,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-H9QHCN,ACC-ACB7G6Z,TABLET,Android 14 (Tablet),fp-1bac9513a9c9,2026-05-04,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-9U7TB0,ACC-AG8VFMI,MOBILE,Android 13,fp-d27948a397c9,2023-03-01,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-8MUHA0,ACC-AH3XM2A,MOBILE,Android 12,fp-1415617c6c49,2021-09-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-0ZPD7O,ACC-AK04VVG,MOBILE,iOS 17,fp-0b29ed8da16b,2021-01-19,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-STC6D1,ACC-AMA18WP,MOBILE,Android 14,fp-c23e6849db4a,2020-05-18,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5188YN,ACC-AO08CAP,MOBILE,iOS 16,fp-d5d9a09b6a80,2023-06-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5TMTT4,ACC-ARN9585,MOBILE,Android 14,fp-302de85edab8,2025-03-31,2025-07-02,FALSE,TRUE,FALSE,RETIRED,,UNKNOWN
DEV-O7IW2G,ACC-ARN9585,MOBILE,Android 13,fp-3ed9d6a6177a,2025-04-15,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-VM9HDK,ACC-ARN9585,MOBILE,Android 14,fp-0e6bc90f7c00,2025-07-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-5TMTT4,AVAILABLE
DEV-92NNB7,ACC-ARN9585,TABLET,Android 14 (Tablet),fp-24ae1faa1df2,2025-11-25,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-SJUKA2,ACC-AWXUF9Q,MOBILE,iOS 17,fp-7e33c9700ecd,2024-02-23,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-T0RCF4,ACC-B2JA7EF,MOBILE,Android 14,fp-b649848b9b35,2019-09-11,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-KB4N2T,ACC-B56HEP2,MOBILE,Android 14,fp-7e1a19898c06,2021-06-28,2025-12-05,FALSE,TRUE,FALSE,RETIRED,,AVAILABLE
DEV-8ZWLYD,ACC-B56HEP2,MOBILE,Android 14,fp-43ac8436a511,2021-07-07,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
