transaction_id,sender_account_id,receiver_account_id,timestamp,amount,currency,transaction_type,channel,beneficiary_id,device_id,geo_event_id,is_international,balance_after,transaction_status,payment_reference
TXN-5IOZATG,EXT-XAEWB9H,ACC-43VVT0V,2026-04-01 09:01:00,283241.85,INR,SALARY_CREDIT,NEFT,,,,FALSE,437299.61,SUCCESS,SALARY-202604
TXN-5Q0QALQ,ACC-KC6Q0S7,EXT-VHS1K3A,2026-04-01 09:01:00,430.63,INR,UPI_MERCHANT,UPI,BEN-65E10V,DEV-E3W2GH,GEO-20TWBG,FALSE,179767.15,SUCCESS,UPI/184133534
TXN-Z4NPC6R,EXT-E5EN0YU,ACC-M8PYQDR,2026-04-01 09:05:00,85931.54,INR,SALARY_CREDIT,NEFT,,,,FALSE,371609.61,SUCCESS,SALARY-202604
TXN-3W0BKPZ,EXT-W1RVRRG,ACC-QHDK3Z4,2026-04-01 09:06:00,138705.29,INR,SALARY_CREDIT,NEFT,,,,FALSE,325253.17,SUCCESS,SALARY-202604
TXN-CR05497,EXT-Y6X573L,ACC-M8YXU1P,2026-04-01 09:10:00,31807.31,INR,SALARY_CREDIT,NEFT,,,,FALSE,195830.56,SUCCESS,SALARY-202604
TXN-YO2GS0E,ACC-ZJ2O1XJ,EXT-OGYR3XK,2026-04-01 09:11:00,4080.63,INR,CARD_PURCHASE,CARD,,DEV-KSBV3D,GEO-FJVMX0,FALSE,293624.28,SUCCESS,E-COM/3854118216
TXN-4ON1SX4,EXT-FOWOT0V,ACC-B5SQ0ZY,2026-04-01 09:12:00,151429.47,INR,SALARY_CREDIT,NEFT,,,,FALSE,433341.42,SUCCESS,SALARY-202604
TXN-0FNS2SQ,EXT-RCGC56O,ACC-QBCV0QM,2026-04-01 09:16:00,211705.58,INR,SALARY_CREDIT,NEFT,,,,FALSE,897025.70,SUCCESS,SALARY-202604
TXN-HYQ7JG4,EXT-F3YR2XA,ACC-1KDGW4L,2026-04-01 09:17:00,376566.89,INR,SALARY_CREDIT,NEFT,,,,FALSE,705815.90,SUCCESS,SALARY-202604
TXN-6KKVSCH,EXT-MJJ4AL0,ACC-QPR4VXL,2026-04-01 09:23:00,135155.89,INR,SALARY_CREDIT,NEFT,,,,FALSE,305026.05,SUCCESS,SALARY-202604
TXN-G7T25TE,EXT-3CGD8LK,ACC-H7GX86O,2026-04-01 09:23:00,384027.21,INR,NEFT_TRANSFER,NEFT,,,,FALSE,714617.11,SUCCESS,CLIENT-PAYMENT-202604
TXN-UI25TYW,EXT-2HWYWYL,ACC-VQ2RPUV,2026-04-01 09:26:00,32328.55,INR,SALARY_CREDIT,NEFT,,,,FALSE,437373.18,SUCCESS,SALARY-202604
TXN-X9AGKRG,EXT-7923TIT,ACC-5JN7BS0,2026-04-01 09:27:00,222456.41,INR,SALARY_CREDIT,NEFT,,,,FALSE,298320.81,SUCCESS,SALARY-202604
TXN-5TB0VGA,EXT-8SJTXA9,ACC-2Z1UBYH,2026-04-01 09:29:00,79960.13,INR,SALARY_CREDIT,NEFT,,,,FALSE,374198.18,SUCCESS,SALARY-202604
TXN-DBEP924,EXT-ITP71SD,ACC-52Y4R1F,2026-04-01 09:29:00,6828.16,INR,NEFT_TRANSFER,NEFT,,,,FALSE,347011.84,SUCCESS,FAMILY-SUPPORT-202604
TXN-PJV6S2L,EXT-ATD8MY1,ACC-I85FVOE,2026-04-01 09:30:00,230932.27,INR,SALARY_CREDIT,NEFT,,,,FALSE,486030.60,SUCCESS,SALARY-202604
TXN-5BU8D3Q,EXT-6TZD8H4,ACC-21YEFI7,2026-04-01 09:30:00,6208.07,INR,NEFT_TRANSFER,NEFT,,,,FALSE,246347.61,SUCCESS,FAMILY-SUPPORT-202604
TXN-PUVIQO3,EXT-DZIZA37,ACC-I72U6W3,2026-04-01 09:31:00,42820.81,INR,SALARY_CREDIT,NEFT,,,,FALSE,250268.20,SUCCESS,SALARY-202604
TXN-32GGSFO,ACC-L6HYC1R,EXT-C38HYF9,2026-04-01 09:35:00,1508.45,INR,CARD_PURCHASE,CARD,,DEV-GK2O0F,GEO-798SJA,FALSE,341726.24,SUCCESS,E-COM/1677846260
TXN-UA4GNLY,EXT-7PPER1U,ACC-O1SZJIV,2026-04-01 09:36:00,38881.72,INR,SALARY_CREDIT,NEFT,,,,FALSE,117114.04,SUCCESS,SALARY-202604
TXN-WF8T6FE,EXT-4XH4FJ7,ACC-IFI031L,2026-04-01 09:36:00,159685.30,INR,SALARY_CREDIT,NEFT,,,,FALSE,317977.00,SUCCESS,SALARY-202604
TXN-TFEI6E4,ACC-9F5G3UK,EXT-E32H8A1,2026-04-01 09:36:00,2795.20,INR,UPI_MERCHANT,UPI,,DEV-21NTQH,,FALSE,196362.97,SUCCESS,UPI/114243512
TXN-DAV0FQ9,EXT-8AG1IQX,ACC-UUMK563,2026-04-01 09:40:00,138709.60,INR,NEFT_TRANSFER,NEFT,,,,FALSE,456541.83,SUCCESS,CLIENT-PAYMENT-202604
TXN-X2FFZ2G,EXT-X4XTBCD,ACC-VYP1NJG,2026-04-01 09:40:00,228551.90,INR,NEFT_TRANSFER,NEFT,,,,FALSE,506963.67,SUCCESS,CLIENT-PAYMENT-202604
TXN-X3HO033,EXT-OJDZ26F,ACC-4L5GTCY,2026-04-01 09:41:00,232713.46,INR,SALARY_CREDIT,NEFT,,,,FALSE,472465.22,SUCCESS,SALARY-202604
TXN-V0VQO02,ACC-4SBKXCS,ACC-4SBKXCS,2026-04-01 09:41:00,500.00,INR,ATM_WITHDRAWAL,ATM,,,,FALSE,492591.72,SUCCESS,ATM-CASH688405
TXN-EW9WT39,EXT-438R92I,ACC-GE49DBZ,2026-04-01 09:44:00,198093.76,INR,SALARY_CREDIT,NEFT,,,,FALSE,527554.27,SUCCESS,SALARY-202604
TXN-CRWV4P6,EXT-XKS265G,ACC-OH9O5QV,2026-04-01 09:47:00,56533.72,INR,SALARY_CREDIT,NEFT,,,,FALSE,242113.60,SUCCESS,SALARY-202604
TXN-5FAGSEN,ACC-9FN202S,EXT-H4HILU9,2026-04-01 09:49:00,792.41,INR,UPI_MERCHANT,UPI,,DEV-CY31KQ,,FALSE,345470.57,SUCCESS,UPI/704665237
TXN-GRRX01E,EXT-D5SOWOM,ACC-2WT1Q3T,2026-04-01 09:50:00,19237.57,INR,SALARY_CREDIT,NEFT,,,,FALSE,195054.61,SUCCESS,SALARY-202604
TXN-KTD9A34,ACC-6OC7T3B,EXT-B9M80O2,2026-04-01 09:50:00,10186.72,INR,CARD_PURCHASE,CARD,,DEV-4JJPOU,GEO-49IX36,FALSE,315557.87,SUCCESS,E-COM/1145804835
TXN-EEZQHN5,EXT-6RGOT5V,ACC-Y1WIZ9P,2026-04-01 09:50:00,133088.42,INR,SALARY_CREDIT,NEFT,,,,FALSE,449865.13,SUCCESS,SALARY-202604
TXN-0AYFBQ3,EXT-31RUPFR,ACC-W81XE6V,2026-04-01 09:53:00,36096.28,INR,SALARY_CREDIT,NEFT,,,,FALSE,148021.86,SUCCESS,SALARY-202604
TXN-X2X4L41,EXT-HN738JO,ACC-L9CYMTY,2026-04-01 09:54:00,48754.09,INR,SALARY_CREDIT,NEFT,,,,FALSE,244120.59,SUCCESS,SALARY-202604
TXN-2PABV6U,EXT-SBTN76M,ACC-JE7AK2W,2026-04-01 09:55:00,63931.25,INR,SALARY_CREDIT,NEFT,,,,FALSE,192910.07,SUCCESS,SALARY-202604
TXN-0H2SRY8,EXT-ZQ98MEJ,ACC-J4EATMM,2026-04-01 09:55:00,72201.72,INR,SALARY_CREDIT,NEFT,,,,FALSE,248012.57,SUCCESS,SALARY-202604
TXN-5C5JJJK,EXT-GAEMI6Q,ACC-T1EGD9D,2026-04-01 09:57:00,250733.42,INR,NEFT_TRANSFER,NEFT,,,,FALSE,300406.40,SUCCESS,CLIENT-PAYMENT-202604
TXN-KI0SRQI,EXT-YV2V1IT,ACC-IRTR5JE,2026-04-01 09:58:00,8623.57,INR,NEFT_TRANSFER,NEFT,,,,FALSE,263865.55,SUCCESS,FAMILY-SUPPORT-202604
TXN-Z86CS54,EXT-UXF062Q,ACC-9F5G3UK,2026-04-01 09:58:00,59912.02,INR,SALARY_CREDIT,NEFT,,,,FALSE,256274.99,SUCCESS,SALARY-202604
TXN-LK4BYZQ,ACC-R7CETEN,EXT-6304N1U,2026-04-01 10:00:00,1768.26,INR,UPI_MERCHANT,UPI,,DEV-6873WR,GEO-GK6CFJ,FALSE,161556.85,SUCCESS,UPI/985270286
TXN-PMX97QK,EXT-WT7U7FN,ACC-7YVR4NK,2026-04-01 10:00:00,200931.12,INR,NEFT_TRANSFER,NEFT,,,,FALSE,510244.95,SUCCESS,CLIENT-PAYMENT-202604
TXN-3UMK0JZ,EXT-U7W86NG,ACC-NHLLA92,2026-04-01 10:01:00,5344.83,INR,NEFT_TRANSFER,NEFT,,,,FALSE,407241.09,SUCCESS,FAMILY-SUPPORT-202604
TXN-427UE7L,EXT-KXV0N9P,ACC-OK8NHVI,2026-04-01 10:01:00,126692.55,INR,SALARY_CREDIT,NEFT,,,,FALSE,205812.33,SUCCESS,SALARY-202604
TXN-3SEMU0X,EXT-25OW9Y1,ACC-CER8CLU,2026-04-01 10:03:00,7137.90,INR,NEFT_TRANSFER,NEFT,,,,FALSE,425268.95,SUCCESS,FAMILY-SUPPORT-202604
TXN-0FN5APQ,EXT-7HSFKR2,ACC-2O8PT4M,2026-04-01 10:04:00,25310.53,INR,SALARY_CREDIT,NEFT,,,,FALSE,285074.58,SUCCESS,SALARY-202604
TXN-B9OSPHU,EXT-06G6JBY,ACC-TM9MCPR,2026-04-01 10:05:00,213091.49,INR,SALARY_CREDIT,NEFT,,,,FALSE,910904.33,SUCCESS,SALARY-202604
TXN-TEC14LW,EXT-1RXIV43,ACC-M5VWIPG,2026-04-01 10:06:00,226733.35,INR,SALARY_CREDIT,NEFT,,,,FALSE,496085.88,SUCCESS,SALARY-202604
TXN-39HMCF9,EXT-LPN1FPJ,ACC-1RZBK6K,2026-04-01 10:06:00,123614.73,INR,SALARY_CREDIT,NEFT,,,,FALSE,326180.65,SUCCESS,SALARY-202604
TXN-4MJSBGE,EXT-AHTUQL2,ACC-G9YS831,2026-04-01 10:07:00,30408.97,INR,SALARY_CREDIT,NEFT,,,,FALSE,293951.38,SUCCESS,SALARY-202604
TXN-KLYNV2S,EXT-C4JXFPK,ACC-N4YTUKC,2026-04-01 10:08:00,9040.58,INR,NEFT_TRANSFER,NEFT,,,,FALSE,430905.33,SUCCESS,FAMILY-SUPPORT-202604
TXN-5376HXH,EXT-XF8MDRY,ACC-U00JTYL,2026-04-01 10:09:00,36771.71,INR,SALARY_CREDIT,NEFT,,,,FALSE,208771.63,SUCCESS,SALARY-202604
TXN-WKR2NI3,EXT-KI24SJN,ACC-5ZTKB9Z,2026-04-01 10:09:00,125189.30,INR,SALARY_CREDIT,NEFT,,,,FALSE,1254860.69,SUCCESS,SALARY-202604
TXN-Z1HVDYK,EXT-Q2B5JAC,ACC-R1UQKER,2026-04-01 10:11:00,82449.76,INR,NEFT_TRANSFER,NEFT,,,,FALSE,620874.12,SUCCESS,CLIENT-PAYMENT-202604
TXN-SWJT7PO,EXT-NNDG7F4,ACC-DG0LKS9,2026-04-01 10:12:00,5221.94,INR,NEFT_TRANSFER,NEFT,,,,FALSE,308962.20,SUCCESS,FAMILY-SUPPORT-202604
TXN-BLMD8T0,EXT-EW5BOLP,ACC-9XA4KWG,2026-04-01 10:12:00,314224.40,INR,SALARY_CREDIT,NEFT,,,,FALSE,468921.33,SUCCESS,SALARY-202604
TXN-IJ77WMB,ACC-UXI7OGZ,EXT-ZEYWJ3F,2026-04-01 10:15:00,1503.05,INR,UPI_MERCHANT,UPI,,DEV-2LSFX0,,FALSE,207389.14,SUCCESS,UPI/780204768
TXN-05DM2D2,EXT-JD2GVF6,ACC-DW6ET32,2026-04-01 10:16:00,146466.01,INR,SALARY_CREDIT,NEFT,,,,FALSE,1327543.93,SUCCESS,SALARY-202604
TXN-O5240YQ,EXT-B33IZLX,ACC-C46C17Z,2026-04-01 10:16:00,38839.92,INR,SALARY_CREDIT,NEFT,,,,FALSE,267476.73,SUCCESS,SALARY-202604
TXN-YIGTCY4,EXT-JAOBO1Y,ACC-AG8VFMI,2026-04-01 10:18:00,194490.51,INR,SALARY_CREDIT,NEFT,,,,FALSE,537249.55,SUCCESS,SALARY-202604
TXN-7U56PDQ,EXT-I5GAS44,ACC-HMUH8LM,2026-04-01 10:31:00,22318.10,INR,SALARY_CREDIT,NEFT,,,,FALSE,362725.37,SUCCESS,SALARY-202604
TXN-L4TXX7S,EXT-SK8GENA,ACC-KRF7YIN,2026-04-01 10:34:00,165579.81,INR,NEFT_TRANSFER,NEFT,,,,FALSE,988344.80,SUCCESS,CLIENT-PAYMENT-202604
TXN-BC5EYD4,ACC-JS2MXCB,EXT-IW2VE8K,2026-04-01 10:36:00,44898.98,INR,IMPS_TRANSFER,IMPS,BEN-TAHBV2,DEV-WQ8T8J,GEO-YFGA9L,FALSE,828902.49,SUCCESS,RENT-202604
TXN-3LFPMBO,ACC-CTT593O,EXT-CPL541L,2026-04-01 10:37:00,2938.36,INR,UPI_MERCHANT,UPI,,DEV-EI5XB9,GEO-TD4LMY,FALSE,548430.51,SUCCESS,UPI/995463048
TXN-YC8R2JB,EXT-BI45H02,ACC-CAIKVW2,2026-04-01 10:39:00,73217.12,INR,SALARY_CREDIT,NEFT,,,,FALSE,439412.86,SUCCESS,SALARY-202604
TXN-GM3545B,ACC-RDEZX6K,ACC-6K088ZF,2026-04-01 10:39:00,7280.91,INR,IMPS_TRANSFER,IMPS,,,GEO-Q1158I,FALSE,433560.34,SUCCESS,IMPS9479371186
TXN-OKNH4PB,ACC-KRJ1925,EXT-7SY0ZHR,2026-04-01 10:39:00,2270.34,INR,UPI_MERCHANT,UPI,,DEV-43EDUA,GEO-MQJXA2,FALSE,536945.78,SUCCESS,UPI/612157352
TXN-3UUTQGX,EXT-HR4N5SY,ACC-UXI7OGZ,2026-04-01 10:41:00,168108.40,INR,NEFT_TRANSFER,NEFT,,,,FALSE,375497.54,SUCCESS,CLIENT-PAYMENT-202604
TXN-AVNNSN9,ACC-7YVR4NK,EXT-AK1VRJN,2026-04-01 10:42:00,6882.92,INR,CARD_PURCHASE,CARD,,DEV-IY0L7Z,GEO-FHAU06,FALSE,503362.03,SUCCESS,E-COM/8761783952
TXN-DZ87B1O,ACC-70SBOVV,EXT-VSMY2J6,2026-04-01 10:43:00,2858.23,INR,UPI_MERCHANT,UPI,,DEV-BJYV1S,GEO-YFY0QW,FALSE,448403.88,SUCCESS,UPI/210157576
TXN-1QJNSM9,ACC-GG2KTBC,ACC-JWSOYH5,2026-04-01 10:44:00,6558.29,INR,IMPS_TRANSFER,IMPS,BEN-HHLT0Q,DEV-7TBATY,GEO-G8J93G,FALSE,289564.70,SUCCESS,IMPS1623136205
TXN-FEA6IDS,EXT-F7XE786,ACC-SPTHDP0,2026-04-01 10:44:00,43772.49,INR,SALARY_CREDIT,NEFT,,,,FALSE,347125.60,SUCCESS,SALARY-202604
TXN-G2F8KNK,EXT-6CCCIV4,ACC-ZXCZD9M,2026-04-01 10:44:00,221131.87,INR,SALARY_CREDIT,NEFT,,,,FALSE,611874.76,SUCCESS,SALARY-202604
TXN-ZZMH646,ACC-9RGDKUY,EXT-B9M80O2,2026-04-01 10:44:00,7089.63,INR,CARD_PURCHASE,CARD,,DEV-NK6NN8,,FALSE,335445.24,SUCCESS,E-COM/1844218096
TXN-2KEQMQ7,EXT-PL9EKA0,ACC-HEZ5EDJ,2026-04-01 10:45:00,21344.06,INR,SALARY_CREDIT,NEFT,,,,FALSE,276672.00,SUCCESS,SALARY-202604
TXN-CHBY7QB,EXT-PK68M44,ACC-H7GPNG4,2026-04-01 10:45:00,31387.96,INR,SALARY_CREDIT,NEFT,,,,FALSE,308340.71,SUCCESS,SALARY-202604
TXN-M2WUV8H,EXT-IAEBJ51,ACC-9WHSBP1,2026-04-01 10:46:00,306453.22,INR,SALARY_CREDIT,NEFT,,,,FALSE,635991.87,SUCCESS,SALARY-202604
TXN-7N5ILRM,EXT-ZF7M1K1,ACC-HYKM1QW,2026-04-01 10:46:00,183872.62,INR,SALARY_CREDIT,NEFT,,,,FALSE,472659.63,SUCCESS,SALARY-202604
TXN-3NSP6I3,ACC-CER8CLU,EXT-XE1FSSD,2026-04-01 10:48:00,1089.21,INR,UPI_MERCHANT,UPI,,DEV-1O1NPB,GEO-F3FMMB,FALSE,424179.74,SUCCESS,UPI/264756865
TXN-VOSR4LS,EXT-7XEXZGV,ACC-PR8DOYW,2026-04-01 10:50:00,48988.02,INR,SALARY_CREDIT,NEFT,,,,FALSE,377276.23,SUCCESS,SALARY-202604
TXN-730LBW2,EXT-OHCL62U,ACC-3B2A3CW,2026-04-01 10:51:00,7153.82,INR,NEFT_TRANSFER,NEFT,,,,FALSE,389294.22,SUCCESS,FAMILY-SUPPORT-202604
TXN-K9AJMW7,EXT-O8SK359,ACC-K5SILU2,2026-04-01 10:53:00,190375.13,INR,NEFT_TRANSFER,NEFT,,,,FALSE,304799.87,SUCCESS,CLIENT-PAYMENT-202604
TXN-GL1EILZ,EXT-H7I5XS9,ACC-A7NMSK8,2026-04-01 10:53:00,223352.60,INR,NEFT_TRANSFER,NEFT,,,,FALSE,292655.85,SUCCESS,CLIENT-PAYMENT-202604
TXN-O7804IX,ACC-PQ9YTXH,ACC-PQ9YTXH,2026-04-01 10:56:00,5000.00,INR,ATM_WITHDRAWAL,ATM,,,GEO-MQI9CY,FALSE,247077.34,SUCCESS,ATM-CASH988221
TXN-5MZJ4SA,EXT-XASWWT2,ACC-2WFUDM7,2026-04-01 10:58:00,75688.11,INR,SALARY_CREDIT,NEFT,,,,FALSE,361868.89,SUCCESS,SALARY-202604
TXN-ETEA1WH,EXT-47WOKGP,ACC-RYI0M7P,2026-04-01 11:00:00,10340.31,INR,NEFT_TRANSFER,NEFT,,,,FALSE,366956.36,SUCCESS,FAMILY-SUPPORT-202604
TXN-JW19Q9X,EXT-30ZAXO6,ACC-1SGFGFB,2026-04-01 11:00:00,31785.94,INR,SALARY_CREDIT,NEFT,,,,FALSE,73884.86,SUCCESS,SALARY-202604
TXN-QV5L2SA,EXT-EU7OL7E,ACC-L6HYC1R,2026-04-01 11:01:00,367729.71,INR,NEFT_TRANSFER,NEFT,,,,FALSE,709455.95,SUCCESS,CLIENT-PAYMENT-202604
TXN-13H17TL,EXT-0T5G8KQ,ACC-EOGKKC0,2026-04-01 11:01:00,39705.00,INR,SALARY_CREDIT,NEFT,,,,FALSE,343303.15,SUCCESS,SALARY-202604
TXN-TB4V5PE,ACC-L9CYMTY,EXT-GGI6YHT,2026-04-01 11:02:00,2307.91,INR,UPI_MERCHANT,UPI,,DEV-4TKCO2,,FALSE,241812.68,SUCCESS,UPI/466133401
TXN-2XLPPWX,EXT-6OHMIP5,ACC-Q2NS5MH,2026-04-01 11:03:00,9152.17,INR,NEFT_TRANSFER,NEFT,,,,FALSE,279770.83,SUCCESS,FAMILY-SUPPORT-202604
TXN-F3TAV6Z,EXT-908H7D4,ACC-4SBKXCS,2026-04-01 11:03:00,8051.86,INR,NEFT_TRANSFER,NEFT,,,,FALSE,500643.58,SUCCESS,FAMILY-SUPPORT-202604
TXN-1TEIUT7,EXT-I4568HZ,ACC-6SR17OT,2026-04-01 11:08:00,147048.17,INR,SALARY_CREDIT,NEFT,,,,FALSE,481679.14,SUCCESS,SALARY-202604
TXN-6ZNKM4E,EXT-5JMSND8,ACC-29GD8AF,2026-04-01 11:10:00,17033.08,INR,SALARY_CREDIT,NEFT,,,,FALSE,225569.63,SUCCESS,SALARY-202604
TXN-QEE1CKD,EXT-T6Z84QC,ACC-69BY4CY,2026-04-01 11:14:00,59035.21,INR,SALARY_CREDIT,NEFT,,,,FALSE,894884.88,SUCCESS,SALARY-202604
TXN-X34OC4Z,EXT-PNEGC2D,ACC-HL8Z7IO,2026-04-01 11:14:00,40713.20,INR,SALARY_CREDIT,NEFT,,,,FALSE,306656.57,SUCCESS,SALARY-202604
TXN-QIA2YNJ,EXT-TZ9ATSN,ACC-A78MX1E,2026-04-01 11:16:00,24690.94,INR,SALARY_CREDIT,NEFT,,,,FALSE,257648.08,SUCCESS,SALARY-202604
TXN-X484STH,ACC-EZC1B3E,EXT-JXK87AU,2026-04-01 11:16:00,2901.44,INR,CARD_PURCHASE,CARD,,DEV-78A1MV,,FALSE,94890.10,SUCCESS,E-COM/5865554777
TXN-KERZ0RG,EXT-8KYLHTU,ACC-44CI4J3,2026-04-01 11:16:00,7803.40,INR,NEFT_TRANSFER,NEFT,,,,FALSE,491187.23,SUCCESS,FAMILY-SUPPORT-202604
TXN-S8TUO43,EXT-0BA8JGZ,ACC-ACB7G6Z,2026-04-01 11:16:00,188999.12,INR,SALARY_CREDIT,NEFT,,,,FALSE,359756.66,SUCCESS,SALARY-202604
TXN-YO1ZNMS,EXT-6THSXOO,ACC-FZGLI4U,2026-04-01 11:19:00,8551.01,INR,NEFT_TRANSFER,NEFT,,,,FALSE,296476.97,SUCCESS,FAMILY-SUPPORT-202604
TXN-LQPE35S,EXT-CDZ6S60,ACC-ZSDP5YH,2026-04-01 11:19:00,117121.84,INR,SALARY_CREDIT,NEFT,,,,FALSE,174405.94,SUCCESS,SALARY-202604
TXN-YT99V0O,EXT-B9ROJVZ,ACC-M639BCP,2026-04-01 11:20:00,5849.72,INR,NEFT_TRANSFER,NEFT,,,,FALSE,281873.70,SUCCESS,FAMILY-SUPPORT-202604
TXN-D9IWS0S,ACC-D1I4N2E,ACC-MU6FGK8,2026-04-01 11:25:00,24189.33,INR,IMPS_TRANSFER,IMPS,BEN-A48HKW,DEV-PZHJ14,GEO-L6330U,FALSE,1307363.83,SUCCESS,IMPS1040004066
TXN-PYZFO2M,EXT-1BKEI67,ACC-0IQSVUH,2026-04-01 11:27:00,72733.17,INR,SALARY_CREDIT,NEFT,,,,FALSE,238841.43,SUCCESS,SALARY-202604
TXN-WZN9RTD,EXT-I4EOYFG,ACC-3A1MITK,2026-04-01 11:30:00,45954.45,INR,SALARY_CREDIT,NEFT,,,,FALSE,191952.84,SUCCESS,SALARY-202604
TXN-WM5KODN,EXT-4HR7BJ0,ACC-SO76KJG,2026-04-01 11:32:00,219065.42,INR,SALARY_CREDIT,NEFT,,,,FALSE,379873.81,SUCCESS,SALARY-202604
TXN-V4C7N19,EXT-EA3GE8N,ACC-D6FLEEP,2026-04-01 11:39:00,20144.54,INR,SALARY_CREDIT,NEFT,,,,FALSE,266799.84,SUCCESS,SALARY-202604
TXN-CH8ONB3,EXT-TQD4KDS,ACC-R37F7FP,2026-04-01 11:42:00,51668.24,INR,SALARY_CREDIT,NEFT,,,,FALSE,248458.51,SUCCESS,SALARY-202604
TXN-YTGZ3NO,ACC-H1RJFUI,EXT-XACX4GN,2026-04-01 11:43:00,397.83,INR,UPI_MERCHANT,UPI,,DEV-UR1ERM,,FALSE,36446.63,SUCCESS,UPI/382027315
TXN-J3PX00N,ACC-ER1KTGJ,EXT-RO5RFXH,2026-04-01 11:43:00,40994.42,INR,IMPS_TRANSFER,IMPS,BEN-E6J5KC,DEV-467R6N,GEO-ERNHF2,FALSE,237794.80,SUCCESS,RENT-202604
TXN-PURZFJ6,EXT-LI16DH7,ACC-BX9X39I,2026-04-01 11:46:00,39325.79,INR,SALARY_CREDIT,NEFT,,,,FALSE,155607.49,SUCCESS,SALARY-202604
TXN-B8WWMDP,ACC-JE7AK2W,EXT-OGYR3XK,2026-04-01 11:52:00,2808.64,INR,UPI_MERCHANT,UPI,BEN-MZJX67,DEV-2XZ084,GEO-11FPKE,FALSE,190101.43,SUCCESS,UPI/623687576
TXN-1311ZDF,EXT-JO3Q3QA,ACC-GG2KTBC,2026-04-01 11:54:00,19145.55,INR,SALARY_CREDIT,NEFT,,,,FALSE,308710.25,SUCCESS,SALARY-202604
TXN-6426AZP,ACC-4NOUWR6,ACC-4NOUWR6,2026-04-01 11:54:00,10000.00,INR,ATM_WITHDRAWAL,ATM,,,GEO-LFJJ3I,FALSE,337707.02,SUCCESS,ATM-CASH318127
TXN-41C6I2M,ACC-3HQ57UY,EXT-9RDWBVY,2026-04-01 11:57:00,2128.28,INR,UPI_MERCHANT,UPI,,DEV-A6F0UR,GEO-JT49EC,FALSE,277066.29,SUCCESS,UPI/784780833
TXN-MFP02K2,ACC-XXV6AZE,EXT-ZRENUN5,2026-04-01 12:01:00,5162.13,INR,CARD_PURCHASE,CARD,,DEV-Y4AEF6,GEO-OFFET5,FALSE,149097.31,SUCCESS,E-COM/2889321808
TXN-EELDF15,EXT-F9P7KYK,ACC-GFAT2XR,2026-04-01 12:02:00,27049.97,INR,SALARY_CREDIT,NEFT,,,,FALSE,317748.89,SUCCESS,SALARY-202604
TXN-IT81B2A,EXT-Y5ZPJAG,ACC-22N64KF,2026-04-01 12:03:00,23025.40,INR,SALARY_CREDIT,NEFT,,,,FALSE,404693.55,SUCCESS,SALARY-202604
TXN-QAZADW9,EXT-195DWY7,ACC-PCZ2O8N,2026-04-01 12:06:00,374434.58,INR,SALARY_CREDIT,NEFT,,,,FALSE,455783.91,SUCCESS,SALARY-202604
