alert_id,account_id,rule_id,rule_name,typology,score,detected_at,window_start,window_end,evidence
ALR-KI5PGL7,ACC-HGP8IY3,AS-008,transaction_amount_anomaly,account_swap,15,2026-09-04 22:13:48,2026-08-24 11:20:00,2026-08-24 11:20:00,"{""transaction_id"": ""TXN-25XAP3P"", ""amount"": 210000.0, ""avg_monthly_txn_amount"": 49565.12, ""multiple"": 4.2}"
ALR-4BXF01G,ACC-HGP8IY3,AS-009,compound_account_takeover_signal,account_swap,20,2026-09-04 22:13:48,2026-04-02 11:08:00,2026-08-24 11:20:00,"{""security_signals"": [""AS-001"", ""AS-002"", ""AS-003"", ""AS-005""], ""transaction_signals"": [""AS-007"", ""AS-008""]}"
ALR-Y37BEAC,ACC-HMUH8LM,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-01 10:31:00,2026-08-12 17:03:00,"{""month"": ""2026-08"", ""month_flow_amount"": 303718.29, ""avg_monthly_txn_amount"": 46338.61, ""multiple"": 6.6}"
ALR-VLZ8QP9,ACC-HMUH8LM,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-08-03 13:50:00,2026-08-03 15:45:00,"{""chain"": [""ACC-HMUH8LM"", ""ACC-BRCL472"", ""ACC-DM7X52D""], ""first_hop_txn"": ""TXN-PTHTSX6"", ""second_hop_txn"": ""TXN-RO4LN6S""}"
ALR-7EAR146,ACC-KGYC4OM,SMF-001,multiple_inbound_counterparties,smurfing,15,2026-09-04 22:13:48,2026-08-20 09:30:00,2026-08-20 13:15:00,"{""unique_inbound_senders"": 3, ""senders"": [""ACC-22N64KF"", ""ACC-9PH3I37"", ""ACC-A78MX1E""], ""window_hours"": 3.8}"
ALR-519ARIS,ACC-KGYC4OM,SMF-002,fragmented_inbound_transactions,smurfing,15,2026-09-04 22:13:48,2026-08-20 09:30:00,2026-08-20 13:15:00,"{""inbound_count"": 3, ""aggregate_amount"": 66000.0, ""account_baseline"": 54882.2, ""amount_cv"": 0.11}"
ALR-9DOWCR1,ACC-KGYC4OM,SMF-003,rapid_onward_transfer,smurfing,20,2026-09-04 22:13:48,2026-08-20 11:40:00,2026-08-20 17:40:00,"{""transaction_id"": ""TXN-9HK8Q5O"", ""outgoing_amount_ratio"": 1.3, ""incoming_sum_6h"": 73000.0, ""minutes_after_inbound"": 100}"
ALR-8SXLYKB,ACC-KGYC4OM,SMF-007,fund_retention_anomaly,smurfing,20,2026-09-04 22:13:48,2026-08-20 11:40:00,2026-08-20 17:40:00,"{""transaction_id"": ""TXN-9HK8Q5O"", ""outgoing_incoming_ratio"": 1.3, ""incoming_sum_6h"": 73000.0}"
ALR-ZG7PPON,ACC-KGYC4OM,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-01 13:54:00,2026-08-28 16:16:00,"{""month"": ""2026-08"", ""month_flow_amount"": 258279.93, ""avg_monthly_txn_amount"": 54882.2, ""multiple"": 4.7}"
ALR-O818884,ACC-KGYC4OM,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-07-18 20:23:00,2026-07-21 16:34:00,"{""chain"": [""ACC-KGYC4OM"", ""ACC-D7CEDA0"", ""ACC-XI27VLT""], ""first_hop_txn"": ""TXN-PAX5NT5"", ""second_hop_txn"": ""TXN-ZMT5F0M""}"
ALR-UC29EDG,ACC-KGYC4OM,SMF-008,new_beneficiary_after_inbound,smurfing,10,2026-09-04 22:13:48,2026-08-20 13:15:00,2026-08-20 17:40:00,"{""transaction_id"": ""TXN-9HK8Q5O"", ""beneficiary_id"": ""BEN-2YA3BO"", ""minutes_after_inbound"": 100}"
ALR-JMHEZG8,ACC-P39JYM6,SMF-004,multiple_outbound_counterparties,smurfing,10,2026-09-04 22:13:48,2026-08-16 11:00:00,2026-08-16 11:40:00,"{""unique_outbound_receivers"": 2, ""receivers"": [""ACC-GG2KTBC"", ""ACC-J5CI6VG""]}"
ALR-HK3FVBO,ACC-P39JYM6,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-03 12:31:00,2026-08-29 14:44:00,"{""month"": ""2026-08"", ""month_flow_amount"": 674708.08, ""avg_monthly_txn_amount"": 37055.21, ""multiple"": 18.2}"
ALR-2H186GQ,ACC-P39JYM6,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-08-16 11:40:00,2026-08-17 11:04:00,"{""chain"": [""ACC-P39JYM6"", ""ACC-GG2KTBC"", ""ACC-AO08CAP""], ""first_hop_txn"": ""TXN-MY36J8K"", ""second_hop_txn"": ""TXN-2ZLQMI1""}"
ALR-4W1ETMY,ACC-P39JYM6,RSMF-001,multiple_outbound_counterparties,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-16 11:00:00,2026-08-16 12:20:00,"{""unique_outbound_receivers"": 3, ""receivers"": [""ACC-2WT1Q3T"", ""ACC-GG2KTBC"", ""ACC-J5CI6VG""]}"
ALR-EVSD9MZ,ACC-P39JYM6,RSMF-002,outbound_amount_fragmentation,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-16 11:00:00,2026-08-16 12:20:00,"{""outbound_count"": 3, ""amount_cv"": 0.03, ""amounts"": [75000.0, 78000.0, 80000.0]}"
ALR-Z760CPC,ACC-P39JYM6,RSMF-003,rapid_distribution,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-16 11:00:00,2026-08-16 12:20:00,"{""distribution_window_minutes"": 80, ""receivers"": 3}"
ALR-FY186WS,ACC-P39JYM6,RSMF-006,multi_hop_distribution_network,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-16 11:40:00,2026-08-17 11:04:00,"{""chain"": [""ACC-P39JYM6"", ""ACC-GG2KTBC"", ""ACC-AO08CAP""], ""depth"": 2}"
ALR-VB5FJTN,ACC-P39JYM6,RSMF-005,transaction_profile_deviation,reverse_smurfing,15,2026-09-04 22:13:48,2026-04-03 12:31:00,2026-08-29 14:44:00,"{""month"": ""2026-08"", ""month_outbound_amount"": 322371.68, ""avg_monthly_txn_amount"": 37055.21, ""multiple"": 8.7}"
ALR-C4X9NZ3,ACC-VKE6H76,AS-002,new_device,account_swap,15,2026-09-04 22:13:48,2026-08-26 22:45:00,2026-08-26 22:45:00,"{""transaction_id"": ""TXN-7S9SUAM"", ""device_id"": ""DEV-ZTSM3A"", ""trusted"": false}"
ALR-HNBBKS1,ACC-VKE6H76,AS-005,vpn_or_proxy_signal,account_swap,10,2026-09-04 22:13:48,2026-08-26 22:45:00,2026-08-26 22:45:00,"{""geo_event_id"": ""GEO-TA9QQ1"", ""city"": ""Dubai""}"
ALR-N1AWY14,ACC-VKE6H76,AS-006,registered_country_mismatch,account_swap,10,2026-09-04 22:13:48,2026-08-26 22:45:00,2026-08-26 22:45:00,"{""geo_event_id"": ""GEO-TA9QQ1"", ""country"": ""ARE"", ""registered_country"": ""INDIA""}"
ALR-8NW8OBE,ACC-VKE6H76,AS-008,transaction_amount_anomaly,account_swap,15,2026-09-04 22:13:48,2026-08-26 22:45:00,2026-08-26 22:45:00,"{""transaction_id"": ""TXN-7S9SUAM"", ""amount"": 240000.0, ""avg_monthly_txn_amount"": 65799.69, ""multiple"": 3.6}"
ALR-NRPGF9Y,ACC-VKE6H76,AS-009,compound_account_takeover_signal,account_swap,20,2026-09-04 22:13:48,2026-04-01 12:36:00,2026-08-28 13:23:00,"{""security_signals"": [""AS-002"", ""AS-005"", ""AS-006""], ""transaction_signals"": [""AS-008""]}"
ALR-OYYLEV8,ACC-W81XE6V,SMF-004,multiple_outbound_counterparties,smurfing,10,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 09:50:00,"{""unique_outbound_receivers"": 2, ""receivers"": [""ACC-B5UL5NW"", ""ACC-HMUH8LM""]}"
ALR-U7TU6GT,ACC-W81XE6V,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-01 09:53:00,2026-08-26 10:52:00,"{""month"": ""2026-08"", ""month_flow_amount"": 975282.88, ""avg_monthly_txn_amount"": 90045.81, ""multiple"": 10.8}"
ALR-CDFHKS0,ACC-W81XE6V,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 12:40:00,"{""chain"": [""ACC-W81XE6V"", ""ACC-B5UL5NW"", ""ACC-SS3EOQM""], ""first_hop_txn"": ""TXN-EY33Y7P"", ""second_hop_txn"": ""TXN-Q56GF24""}"
ALR-IRA74XQ,ACC-W81XE6V,RSMF-001,multiple_outbound_counterparties,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 10:30:00,"{""unique_outbound_receivers"": 3, ""receivers"": [""ACC-B5UL5NW"", ""ACC-HEZ5EDJ"", ""ACC-HMUH8LM""]}"
ALR-226NKYR,ACC-W81XE6V,RSMF-002,outbound_amount_fragmentation,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 10:30:00,"{""outbound_count"": 3, ""amount_cv"": 0.02, ""amounts"": [140000.0, 145000.0, 148000.0]}"
ALR-OZ0BBR4,ACC-W81XE6V,RSMF-003,rapid_distribution,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 10:30:00,"{""distribution_window_minutes"": 75, ""receivers"": 3}"
ALR-RKV5NBK,ACC-W81XE6V,RSMF-004,downstream_pass_through,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 12:40:00,"{""recipient"": ""ACC-B5UL5NW"", ""received_amount"": 140000.0, ""onward_txn"": ""TXN-Q56GF24"", ""onward_within_minutes"": 205}"
ALR-4WIN990,ACC-W81XE6V,RSMF-007,downstream_fund_retention_anomaly,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 12:40:00,"{""recipient"": ""ACC-B5UL5NW"", ""received_amount"": 140000.0, ""onward_amount"": 112000.0, ""onward_ratio"": 0.8}"
ALR-EIT9LRC,ACC-W81XE6V,RSMF-006,multi_hop_distribution_network,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-03 09:15:00,2026-08-03 12:40:00,"{""chain"": [""ACC-W81XE6V"", ""ACC-B5UL5NW"", ""ACC-SS3EOQM""], ""depth"": 2}"
ALR-EQYUBD1,ACC-W81XE6V,RSMF-005,transaction_profile_deviation,reverse_smurfing,15,2026-09-04 22:13:48,2026-04-01 09:53:00,2026-08-26 10:52:00,"{""month"": ""2026-08"", ""month_outbound_amount"": 488330.59, ""avg_monthly_txn_amount"": 90045.81, ""multiple"": 5.4}"
ALR-5I71L0L,ACC-XSK28T7,SMF-003,rapid_onward_transfer,smurfing,20,2026-09-04 22:13:48,2026-08-11 14:10:00,2026-08-11 20:10:00,"{""transaction_id"": ""TXN-96A8UZA"", ""outgoing_amount_ratio"": 0.9, ""incoming_sum_6h"": 206000.0, ""minutes_after_inbound"": 110}"
ALR-BTQN05O,ACC-XSK28T7,SMF-007,fund_retention_anomaly,smurfing,20,2026-09-04 22:13:48,2026-08-11 14:10:00,2026-08-11 20:10:00,"{""transaction_id"": ""TXN-96A8UZA"", ""outgoing_incoming_ratio"": 0.9, ""incoming_sum_6h"": 206000.0}"
ALR-DBLNCI0,ACC-XSK28T7,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-06-02 11:41:00,2026-08-28 18:41:00,"{""month"": ""2026-08"", ""month_flow_amount"": 426659.08, ""avg_monthly_txn_amount"": 45872.92, ""multiple"": 9.3}"
ALR-VMS87HN,ACC-ZAQ8H3X,AS-002,new_device,account_swap,15,2026-09-04 22:13:48,2026-08-21 04:50:00,2026-08-21 04:50:00,"{""transaction_id"": ""TXN-P5N4BO1"", ""device_id"": ""DEV-7ECSGW"", ""trusted"": false}"
ALR-21YLOIF,ACC-ZAQ8H3X,AS-003,device_fingerprint_change,account_swap,15,2026-09-04 22:13:48,2026-08-21 04:50:00,2026-08-21 04:50:00,"{""transaction_id"": ""TXN-P5N4BO1"", ""device_id"": ""DEV-7ECSGW"", ""previous_device_id"": ""DEV-2RWME8""}"
ALR-RS1JRED,ACC-ZAQ8H3X,AS-001,sim_change,account_swap,25,2026-09-04 22:13:48,2026-08-21 00:00:00,2026-08-21 04:50:00,"{""device_id"": ""DEV-7ECSGW"", ""sim_change_date"": ""2026-08-21"", ""transactions_within_24h"": 3}"
ALR-NOM6CA1,ACC-ZAQ8H3X,AS-005,vpn_or_proxy_signal,account_swap,10,2026-09-04 22:13:48,2026-08-21 02:05:00,2026-08-21 02:05:00,"{""geo_event_id"": ""GEO-MBPO4C"", ""city"": ""Delhi""}"
ALR-G2BL1W3,ACC-ZAQ8H3X,AS-004,impossible_travel,account_swap,20,2026-09-04 22:13:48,2026-08-21 01:00:00,2026-08-21 02:05:00,"{""from_city"": ""Mumbai"", ""to_city"": ""Delhi"", ""distance_km"": 1147.7, ""hours"": 1.08}"
ALR-LYGKMTV,ACC-ZAQ8H3X,AS-007,new_beneficiary,account_swap,10,2026-09-04 22:13:48,2026-08-21 04:50:00,2026-08-21 04:50:00,"{""transaction_id"": ""TXN-P5N4BO1"", ""beneficiary_id"": ""BEN-K1FCTQ"", ""amount"": 480000.0}"
ALR-P8DLUXQ,ACC-ZAQ8H3X,AS-008,transaction_amount_anomaly,account_swap,15,2026-09-04 22:13:48,2026-08-21 04:50:00,2026-08-21 04:50:00,"{""transaction_id"": ""TXN-P5N4BO1"", ""amount"": 480000.0, ""avg_monthly_txn_amount"": 133819.08, ""multiple"": 3.6}"
ALR-DBMAA4H,ACC-ZAQ8H3X,AS-009,compound_account_takeover_signal,account_swap,20,2026-09-04 22:13:48,2026-04-01 12:21:00,2026-08-25 17:27:00,"{""security_signals"": [""AS-001"", ""AS-002"", ""AS-003"", ""AS-004"", ""AS-005""], ""transaction_signals"": [""AS-007"", ""AS-008""]}"
